Company,Model,Purpose,Use Exogenous,Low ARIMA Modes,LSTM Sequence Style,Origin Date,Model Fit Origin Date,Date,Origin Price,Actual,Forecast,Error,Scheduled Refit
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-26,2024-07-11,2024-07-29,5.58,5.5,5.299126414964472,-0.2008735850355281,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-26,2024-07-11,2024-07-29,5.58,5.5,5.644673848966543,0.14467384896654334,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-29,2024-07-11,2024-07-30,5.5,5.35,5.285695163514052,-0.06430483648594798,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-29,2024-07-11,2024-07-30,5.5,5.35,5.275843408846221,-0.0741565911537787,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-29,2024-07-11,2024-07-30,5.5,5.35,5.260698421740737,-0.08930157825926255,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-29,2024-07-11,2024-07-30,5.5,5.35,5.250293098427568,-0.09970690157243123,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-30,2024-07-11,2024-07-31,5.35,5.53,5.234754144597538,-0.2952458554024622,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-30,2024-07-11,2024-07-31,5.35,5.53,5.225161302287388,-0.3048386977126123,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-30,2024-07-11,2024-07-31,5.35,5.53,5.229920531604817,-0.3000794683951833,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-30,2024-07-11,2024-07-31,5.35,5.53,5.202526891485745,-0.3274731085142548,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-07-31,2024-07-11,2024-08-01,5.53,5.29,5.79071495984841,0.50071495984841,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-07-31,2024-07-11,2024-08-01,5.53,5.29,5.779907668319996,0.4899076683199963,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-07-31,2024-07-11,2024-08-01,5.53,5.29,5.217240426611421,-0.07275957338857886,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-07-31,2024-07-11,2024-08-01,5.53,5.29,5.760144914606196,0.47014491460619556,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-01,2024-07-11,2024-08-02,5.29,5.18,4.764883394079581,-0.415116605920419,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-01,2024-07-11,2024-08-02,5.29,5.18,4.75152206670629,-0.42847793329370987,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-01,2024-07-11,2024-08-02,5.29,5.18,5.210493849947458,0.030493849947458074,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-01,2024-07-11,2024-08-02,5.29,5.18,4.734918504537612,-0.4450814954623876,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-02,2024-07-11,2024-08-05,5.18,5.0,5.296552134493072,0.29655213449307194,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-02,2024-07-11,2024-08-05,5.18,5.0,5.281690211835921,0.2816902118359206,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-02,2024-07-11,2024-08-05,5.18,5.0,5.182959327919194,0.18295932791919434,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-02,2024-07-11,2024-08-05,5.18,5.0,5.267996572705506,0.26799657270550625,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-05,2024-07-11,2024-08-06,5.0,4.99,4.580909391771904,-0.4090906082280963,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-05,2024-07-11,2024-08-06,5.0,4.99,4.562061405068245,-0.42793859493175557,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-05,2024-07-11,2024-08-06,5.0,4.99,5.149722835013988,0.1597228350139881,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-05,2024-07-11,2024-08-06,5.0,4.99,4.549664778376363,-0.4403352216236369,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-06,2024-07-11,2024-08-07,4.99,5.13,5.1937097309032865,0.06370973090328658,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-06,2024-07-11,2024-08-07,4.99,5.13,5.17043508891032,0.04043508891032044,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-06,2024-07-11,2024-08-07,4.99,5.13,5.085591013340109,-0.04440898665989046,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-06,2024-07-11,2024-08-07,4.99,5.13,5.162058379914518,0.032058379914517765,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-07,2024-07-11,2024-08-08,5.13,5.14,5.1444652887134525,0.004465288713452864,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-07,2024-07-11,2024-08-08,5.13,5.14,5.116357935027888,-0.023642064972111854,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-07,2024-07-11,2024-08-08,5.13,5.14,5.025504078299678,-0.11449592170032208,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-07,2024-07-11,2024-08-08,5.13,5.14,5.1096694241788985,-0.030330575821101213,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-08,2024-08-08,2024-08-09,5.14,5.17,5.106802288324452,-0.06319771167554755,True
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-08,2024-08-08,2024-08-09,5.14,5.17,5.1108621397739,-0.0591378602260999,True
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-08,2024-08-08,2024-08-09,5.14,5.17,5.131395470003082,-0.03860452999691777,True
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-08,2024-08-08,2024-08-09,5.14,5.17,5.110678564304101,-0.05932143569589865,True
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-09,2024-08-08,2024-08-12,5.17,5.24,5.174924795293142,-0.0650752047068579,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-09,2024-08-08,2024-08-12,5.17,5.24,5.17790040663901,-0.06209959336099047,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-09,2024-08-08,2024-08-12,5.17,5.24,5.082265257804381,-0.15773474219561923,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-09,2024-08-08,2024-08-12,5.17,5.24,5.175919798731079,-0.06408020126892122,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-12,2024-08-08,2024-08-13,5.24,5.21,5.308626485828162,0.09862648582816202,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-12,2024-08-08,2024-08-13,5.24,5.21,5.313151982696743,0.10315198269674308,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-12,2024-08-08,2024-08-13,5.24,5.21,5.137825137855432,-0.0721748621445677,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-12,2024-08-08,2024-08-13,5.24,5.21,5.285256146594586,0.0752561465945858,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-13,2024-08-08,2024-08-14,5.21,5.17,5.07967638053112,-0.09032361946888035,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-13,2024-08-08,2024-08-14,5.21,5.17,5.074399197319025,-0.09560080268097515,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-13,2024-08-08,2024-08-14,5.21,5.17,5.118046702255502,-0.05195329774449764,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-13,2024-08-08,2024-08-14,5.21,5.17,5.087046766280486,-0.0829532337195138,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-14,2024-08-08,2024-08-15,5.17,5.25,5.088899945973605,-0.16110005402639516,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-14,2024-08-08,2024-08-15,5.17,5.25,5.084509855103914,-0.16549014489608638,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-14,2024-08-08,2024-08-15,5.17,5.25,5.1137949651643515,-0.1362050348356485,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-14,2024-08-08,2024-08-15,5.17,5.25,5.100518597464643,-0.1494814025353568,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-15,2024-08-08,2024-08-16,5.25,5.23,5.260801554326671,0.0308015543266702,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-15,2024-08-08,2024-08-16,5.25,5.23,5.248094835539412,0.01809483553941149,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-15,2024-08-08,2024-08-16,5.25,5.23,5.104630500066696,-0.1253694999333046,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-15,2024-08-08,2024-08-16,5.25,5.23,5.303798743374425,0.07379874337442427,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-16,2024-08-08,2024-08-19,5.23,5.39,5.026594357978857,-0.3634056420211431,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-16,2024-08-08,2024-08-19,5.23,5.39,5.014156115717013,-0.375843884282987,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-16,2024-08-08,2024-08-19,5.23,5.39,5.119951397990304,-0.2700486020096955,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-16,2024-08-08,2024-08-19,5.23,5.39,5.0828608342890655,-0.30713916571093414,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-19,2024-08-08,2024-08-20,5.39,5.34,5.553154151725758,0.21315415172575847,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-19,2024-08-08,2024-08-20,5.39,5.34,5.532765631334429,0.1927656313344288,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-19,2024-08-08,2024-08-20,5.39,5.34,5.157831689614799,-0.18216831038520098,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-19,2024-08-08,2024-08-20,5.39,5.34,5.61877571056413,0.27877571056412975,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-20,2024-08-08,2024-08-21,5.34,5.41,4.980268084727374,-0.429731915272626,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-20,2024-08-08,2024-08-21,5.34,5.41,4.955432478729941,-0.45456752127005906,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-20,2024-08-08,2024-08-21,5.34,5.41,5.188153706264057,-0.22184629373594333,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-20,2024-08-08,2024-08-21,5.34,5.41,5.050114818072687,-0.35988518192731345,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-21,2024-08-08,2024-08-22,5.41,5.3,5.523234326844399,0.22323432684439926,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-21,2024-08-08,2024-08-22,5.41,5.3,5.493534807642342,0.193534807642342,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-21,2024-08-08,2024-08-22,5.41,5.3,5.232852369422713,-0.06714763057728668,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-21,2024-08-08,2024-08-22,5.41,5.3,5.5984505308976145,0.29845053089761464,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-22,2024-08-08,2024-08-23,5.3,5.43,4.849321706431283,-0.5806782935687167,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-22,2024-08-08,2024-08-23,5.3,5.43,4.811752245265218,-0.6182477547347816,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-22,2024-08-08,2024-08-23,5.3,5.43,5.248947568491712,-0.18105243150828798,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-22,2024-08-08,2024-08-23,5.3,5.43,4.927823986224036,-0.5021760137759639,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-23,2024-08-08,2024-08-27,5.43,5.44,5.667074990936236,0.2270749909362353,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-23,2024-08-08,2024-08-27,5.43,5.44,5.6181813626627095,0.17818136266270912,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-23,2024-08-08,2024-08-27,5.43,5.44,5.292004842519891,-0.14799515748010972,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-23,2024-08-08,2024-08-27,5.43,5.44,5.7463627293966635,0.3063627293966631,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-27,2024-08-08,2024-08-28,5.44,5.34,5.090176206622974,-0.24982379337702554,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-27,2024-08-08,2024-08-28,5.44,5.34,5.03107266889076,-0.3089273311092402,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-27,2024-08-08,2024-08-28,5.44,5.34,5.3224023985114615,-0.017597601488538395,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-27,2024-08-08,2024-08-28,5.44,5.34,5.170087865859072,-0.16991213414092776,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-28,2024-08-08,2024-08-29,5.34,5.27,5.202647879901516,-0.06735212009848368,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-28,2024-08-08,2024-08-29,5.34,5.27,5.140483596214568,-0.1295164037854315,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-28,2024-08-08,2024-08-29,5.34,5.27,5.331924367469922,0.06192436746992236,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-28,2024-08-08,2024-08-29,5.34,5.27,5.28330200826726,0.013302008267260135,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-29,2024-08-08,2024-08-30,5.27,5.26,5.005472153032768,-0.25452784696723185,False
Glencore,Hybrid / Temporal LSTM / Lag Only,isolates the marginal value of external factors,False,2,temporal,2024-08-29,2024-08-08,2024-08-30,5.27,5.26,4.943492420278402,-0.3165075797215975,False
Glencore,All LSTM / Temporal / Full Exog,isolates the fixed two-ARIMA routing decision,True,0,temporal,2024-08-29,2024-08-08,2024-08-30,5.27,5.26,5.2953925111327855,0.03539251113278574,False
Glencore,Hybrid / One-Step LSTM / Full Exog,tests the released source archive's length-one LSTM tensor shape,True,2,single_step,2024-08-29,2024-08-08,2024-08-30,5.27,5.26,5.087059825637339,-0.17294017436266085,False
Glencore,Hybrid / Temporal LSTM / Full Exog,reference causal paper-style architecture,True,2,temporal,2024-08-30,2024-08-08,2024-09-02,5.26,5.26,5.17805402944314,-0.08194597055685993,False
